Months,Expected_jobs,Min_jobs,Max_jobs
2021-04,13653.94937,13346.66894,13946.28698
2021-05,12614.89538,12300.71671,12916.87686
2021-06,13553.2344,13238.15617,13855.65332
2021-07,13285.57674,12958.6474,13577.85644
2021-08,12437.12744,12128.93101,12753.77209
2021-09,13622.44592,13324.33785,13924.8772
2021-10,13741.46799,13427.45778,14063.14506
2021-11,14241.64743,13951.32927,14565.8563
2021-12,14818.65359,14512.0971,15140.45451
2022-01,14593.32119,14283.50128,14888.13956
2022-02,13896.26156,13590.55125,14223.45355
